,work_year,salary_in_usd,clusters,cluster
2345,2023,100000,3,dark purple
2346,2023,75000,3,dark purple
2347,2023,170000,0,light pink
2348,2023,144500,1,pink
2349,2023,204500,0,light pink
2350,2023,142200,1,pink
2351,2023,255360,2,purple
2352,2023,212800,0,light pink
2353,2023,170000,0,light pink
2354,2023,100000,3,dark purple
2355,2023,106400,1,pink
2356,2023,81800,3,dark purple
2357,2023,130000,1,pink
2358,2023,69139,3,dark purple
2359,2023,100631,3,dark purple
2360,2023,80505,3,dark purple
2361,2023,300105,2,purple
2362,2023,151090,1,pink
2363,2023,217600,0,light pink
2364,2023,145000,1,pink
2365,2023,79976,3,dark purple
2366,2023,55368,3,dark purple
2367,2023,129000,1,pink
2368,2023,110000,1,pink
2369,2023,185000,0,light pink
2370,2023,50000,3,dark purple
2371,2023,210000,0,light pink
2372,2023,108000,1,pink
2373,2023,80000,3,dark purple
2374,2023,59500,3,dark purple
2375,2023,250000,2,purple
2376,2023,173400,0,light pink
2377,2023,215000,0,light pink
2378,2023,153000,1,pink
2379,2023,210398,0,light pink
2380,2023,147648,1,pink
2381,2023,105000,1,pink
2382,2023,75000,3,dark purple
2383,2023,60000,3,dark purple
2384,2023,54000,3,dark purple
2385,2023,202000,0,light pink
2386,2023,132000,1,pink
2387,2023,185900,0,light pink
2388,2023,129300,1,pink
2389,2023,204500,0,light pink
2390,2023,142200,1,pink
2391,2023,73824,3,dark purple
2392,2023,61520,3,dark purple
2393,2023,316000,2,purple
2394,2023,202000,0,light pink
2395,2023,81206,3,dark purple
2396,2023,330000,2,purple
2397,2023,188000,0,light pink
2398,2023,140000,1,pink
2399,2023,110000,1,pink
2400,2023,190000,0,light pink
2401,2023,170000,0,light pink
2402,2023,180000,0,light pink
2403,2023,162000,1,pink
2404,2023,150000,1,pink
2405,2023,125000,1,pink
2406,2023,140000,1,pink
2407,2023,105000,1,pink
2408,2023,90000,3,dark purple
2409,2023,73000,3,dark purple
2410,2023,145000,1,pink
2411,2023,115000,1,pink
2412,2023,145000,1,pink
2413,2023,130000,1,pink
2414,2023,204500,0,light pink
2415,2023,142200,1,pink
2416,2023,150000,1,pink
2417,2023,135000,1,pink
2418,2023,247500,2,purple
2419,2023,172200,0,light pink
2420,2023,329500,2,purple
2421,2023,269600,2,purple
2422,2023,225000,0,light pink
2423,2023,156400,1,pink
2424,2023,190000,0,light pink
2425,2023,170000,0,light pink
2426,2023,185900,0,light pink
2427,2023,129300,1,pink
2428,2023,80000,3,dark purple
2429,2023,70000,3,dark purple
2430,2023,204500,0,light pink
2431,2023,138900,1,pink
2432,2023,204500,0,light pink
2433,2023,142200,1,pink
2434,2023,115500,1,pink
2435,2023,73500,3,dark purple
2436,2023,146000,1,pink
2437,2023,97000,3,dark purple
2438,2023,147100,1,pink
2439,2023,90700,3,dark purple
2440,2023,257000,2,purple
2441,2023,197000,0,light pink
2442,2023,140000,1,pink
2443,2023,120000,1,pink
2444,2023,85000,3,dark purple
2445,2023,79000,3,dark purple
2446,2023,93919,3,dark purple
2447,2023,51962,3,dark purple
2448,2023,155000,1,pink
2449,2023,84800,3,dark purple
2450,2023,250500,2,purple
2451,2023,166600,0,light pink
